Manufacturer,Webbing,Material,MBS,Weight,Stretch,Stretch,Width,Cost,Link
n/a,n/a,n/a,kN,g/m,pct_at_6kN,pct_at_10kN,mm,usd/m,n/a
BC,Heavy,Nylon,45,100,8.87,13.12,25.4,3.5,https://www.balancecommunity.com/collections/webbing/products/heavy?variant=39354488913978
BC,Green,Nylon,26,53,8.52,11.72,25.4,2.35,https://www.balancecommunity.com/products/green?variant=29482060087365
BC,Green_20,Nylon,25,53,8.52,11.72,20,2.45,https://www.balancecommunity.com/products/green-20?variant=39247670542394
BC,Blue,Polyester,25,55,3.76,7.51,25.4,2,https://www.balancecommunity.com/collections/webbing/products/blue?variant=29482051665989
BC,Blue_20,Polyester,24,53,3.76,7.51,20,2,https://www.balancecommunity.com/products/blue-20?variant=39247681519674
BC,Lift_2be,Nylon,21.5,48,12.88,16.9,25.4,2.35,https://www.balancecommunity.com/products/lift-2be?variant=31873650688058
BC,Type_18_MKII,Nylon,32,62,9.22,13.14,25.4,2.5,https://www.balancecommunity.com/products/type-18-mkii?variant=32251132608570
BC,Feather_Pro,Polyester,29,51,6.15,10.46,25.4,2.45,https://www.balancecommunity.com/products/feather-pro?variant=29188207706181
BC,Jybn,Nylon,26,51,12.84,19.6,25.4,1.5,https://www.balancecommunity.com/products/jybn?variant=31343903637562
BC,Jelly,Polyester,20,45,4.5,7.01,25.4,2,https://www.balancecommunity.com/products/jelly-webbing?variant=32226238660666
BC,Jasp,Polyester,25,57,5.14,10.47,25.4,1.4,https://www.balancecommunity.com/products/jasp?variant=39354529349690
Raed,Eclipse,Polyester,16,30,6,10,25.4,0.81,https://raed-slacklines.com/eclipse-lightweight-polyester-webbing
Raed,Dyneemite,Dyneema,30,22,1,1.5,25.4,3.52,https://raed-slacklines.com/dyneemite-ultralight-highline-project-webbing
Raed,Aurora,Polyester,31,61,5,8,25.4,2.34,https://raed-slacklines.com/aurora-polyester-highline-webbing
Raed,Rainbow,Polyester,36,62,2,7,25.4,2.06,https://raed-slacklines.com/rainbow-polyester-highline-webbing
Raed,MOTM,Nylon,27,56,13,17,25.4,2.11,https://raed-slacklines.com/motm-tubular-nylon-slackline-webbing
